[TID]               [Nom]               [Début]            [Fin]               [Durée Totale]
140223444936256     coupe               17:49:02            17:49:02            400ms
140223411365440     table               17:49:01            17:49:03            1602ms
140223428150848     coupe               17:49:02            17:49:03            400ms
140223436543552     bague               17:49:02            17:49:03            801ms
140223453328960     porte               17:49:02            17:49:03            600ms
140223419758144     chandelier          17:49:02            17:49:03            600ms
140223444936256     porte               17:49:03            17:49:03            400ms
140223300236864     chandelier          17:49:02            17:49:03            800ms
140223411365440     coupe               17:49:03            17:49:03            600ms
140223419758144     table               17:49:03            17:49:03            200ms
140223428150848     coupe               17:49:03            17:49:03            600ms
140223436543552     bague               17:49:03            17:49:03            600ms
140223453328960     porte               17:49:03            17:49:04            600ms
140223444936256     chandelier          17:49:03            17:49:04            400ms
140223300236864     porte               17:49:03            17:49:04            600ms
140223419758144     bague               17:49:03            17:49:04            400ms
140223411365440     porte               17:49:03            17:49:04            800ms
140223436543552     bague               17:49:04            17:49:04            400ms
140223428150848     porte               17:49:03            17:49:04            800ms
140223444936256     chandelier          17:49:04            17:49:04            400ms
140223453328960     porte               17:49:04            17:49:04            800ms
140223419758144     epee                17:49:04            17:49:04            400ms
140223300236864     coupe               17:49:04            17:49:05            800ms
140223436543552     chandelier          17:49:04            17:49:05            400ms
140223411365440     coupe               17:49:04            17:49:05            800ms
140223444936256     chandelier          17:49:04            17:49:05            400ms
140223428150848     porte               17:49:04            17:49:05            800ms
140223419758144     chandelier          17:49:05            17:49:05            400ms
140223436543552     epee                17:49:05            17:49:05            400ms
140223428150848     table               17:49:05            17:49:05            200ms
140223411365440     epee                17:49:05            17:49:05            600ms
140223436543552     table               17:49:05            17:49:05            200ms
140223453328960     coupe               17:49:04            17:49:06            1201ms
140223300236864     coupe               17:49:05            17:49:06            1201ms
140223444936256     coupe               17:49:05            17:49:06            1001ms
140223419758144     coupe               17:49:05            17:49:06            1001ms
140223428150848     coupe               17:49:05            17:49:06            1000ms
140223444936256     table               17:49:06            17:49:06            200ms
140223453328960     coupe               17:49:06            17:49:07            800ms
140223428150848     chandelier          17:49:06            17:49:07            200ms
140223300236864     porte               17:49:06            17:49:07            800ms
140223411365440     epee                17:49:05            17:49:07            1401ms
140223419758144     bague               17:49:06            17:49:07            400ms
140223436543552     epee                17:49:06            17:49:07            1401ms
140223444936256     coupe               17:49:07            17:49:07            600ms
140223453328960     chandelier          17:49:07            17:49:07            600ms
140223419758144     table               17:49:07            17:49:07            200ms
140223428150848     epee                17:49:07            17:49:07            600ms
140223411365440     porte               17:49:07            17:49:07            601ms
140223300236864     epee                17:49:07            17:49:08            800ms
140223444936256     epee                17:49:07            17:49:08            600ms
140223436543552     coupe               17:49:07            17:49:08            800ms
140223419758144     chandelier          17:49:07            17:49:08            600ms
140223428150848     coupe               17:49:07            17:49:08            800ms
140223453328960     chandelier          17:49:07            17:49:08            1001ms
140223411365440     porte               17:49:08            17:49:08            800ms
140223419758144     epee                17:49:08            17:49:08            200ms
140223300236864     porte               17:49:08            17:49:09            800ms
140223444936256     coupe               17:49:08            17:49:09            800ms
140223428150848     table               17:49:08            17:49:09            600ms
140223419758144     chandelier          17:49:09            17:49:09            200ms
140223436543552     porte               17:49:08            17:49:09            1001ms
140223300236864     chandelier          17:49:09            17:49:09            200ms
140223411365440     coupe               17:49:08            17:49:09            801ms
140223444936256     table               17:49:09            17:49:09            400ms
140223419758144     chandelier          17:49:09            17:49:09            200ms
140223453328960     coupe               17:49:08            17:49:09            1001ms
140223444936256     bague               17:49:09            17:49:09            200ms
140223428150848     coupe               17:49:09            17:49:10            801ms
140223419758144     table               17:49:09            17:49:10            200ms
140223453328960     table               17:49:09            17:49:10            400ms
140223428150848     chandelier          17:49:10            17:49:10            200ms
140223436543552     porte               17:49:09            17:49:10            1001ms
140223300236864     porte               17:49:09            17:49:10            1001ms
140223428150848     chandelier          17:49:10            17:49:10            200ms
140223411365440     coupe               17:49:09            17:49:10            1201ms
140223419758144     table               17:49:10            17:49:10            600ms
140223436543552     chandelier          17:49:10            17:49:10            200ms
140223444936256     porte               17:49:10            17:49:11            1001ms
140223411365440     epee                17:49:10            17:49:11            200ms
140223300236864     table               17:49:10            17:49:11            600ms
140223453328960     coupe               17:49:10            17:49:11            1001ms
140223428150848     chandelier          17:49:10            17:49:11            400ms
140223419758144     coupe               17:49:10            17:49:11            600ms
140223436543552     chandelier          17:49:11            17:49:11            400ms
140223444936256     epee                17:49:11            17:49:11            600ms
140223411365440     bague               17:49:11            17:49:11            400ms
140223453328960     porte               17:49:11            17:49:11            400ms
140223300236864     epee                17:49:11            17:49:11            601ms
140223436543552     bague               17:49:11            17:49:11            200ms
140223428150848     epee                17:49:11            17:49:12            600ms
140223411365440     table               17:49:11            17:49:12            400ms
140223419758144     coupe               17:49:11            17:49:12            801ms
140223300236864     chandelier          17:49:11            17:49:12            400ms
140223444936256     porte               17:49:11            17:49:12            801ms
140223436543552     bague               17:49:12            17:49:12            401ms
140223453328960     porte               17:49:11            17:49:12            801ms
140223428150848     bague               17:49:12            17:49:12            601ms
140223419758144     coupe               17:49:12            17:49:12            601ms
140223411365440     chandelier          17:49:12            17:49:12            601ms
140223300236864     bague               17:49:12            17:49:13            601ms
140223453328960     porte               17:49:12            17:49:13            400ms
140223444936256     bague               17:49:12            17:49:13            801ms
140223428150848     porte               17:49:12            17:49:13            400ms
140223436543552     bague               17:49:12            17:49:13            801ms
140223419758144     chandelier          17:49:12            17:49:13            800ms
140223428150848     porte               17:49:13            17:49:13            200ms
140223411365440     epee                17:49:13            17:49:13            800ms
140223300236864     bague               17:49:13            17:49:13            800ms
140223444936256     epee                17:49:13            17:49:14            800ms
140223436543552     coupe               17:49:13            17:49:14            600ms
140223419758144     chandelier          17:49:13            17:49:14            600ms
140223300236864     table               17:49:14            17:49:14            200ms
140223428150848     epee                17:49:13            17:49:14            600ms
140223411365440     porte               17:49:13            17:49:14            601ms
